[2025-09-22 17:06:49] [INFO    ] discord.client: logging in using static token
[2025-09-22 17:06:50] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-09-22 17:06:50] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-09-22 17:06:50] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1410806095118602370', 'username': 'inventory bot', 'avatar': None, 'discriminator': '6726', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-09-22 17:06:50] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-09-22 17:06:50] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-09-22 17:06:50] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1410806095118602370', 'name': 'inventory bot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1410806095118602370', 'username': 'inventory bot', 'avatar': None, 'discriminator': '6726', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '45aada03b8dd297dc86190656e9e8d7d8a96834ab7e8f302084d27c586a433b8', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '272617475521380352', 'username': 'raeb.', 'avatar': 'e4f3572ade6a694216e12d1391a575a7', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': None, 'global_name': 'raeb', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': {'identity_guild_id': None, 'identity_enabled': False, 'tag': None, 'badge': None}, 'primary_guild': {'identity_guild_id': None, 'identity_enabled': False, 'tag': None, 'badge': None}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-09-22 17:06:50] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-09-22 17:06:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-0sps",{"micros":0.0}]']}}
[2025-09-22 17:06:50] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-09-22 17:06:50] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-09-22 17:06:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'inventory bot', 'primary_guild': None, 'mfa_enabled': True, 'id': '1410806095118602370', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '6726', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '0e441c147a89ee9ab70220534976726d', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1410748812007571549'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['santa-clara', 'us-west', 'oregon', 'seattle', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1410806095118602370', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-0sps",{"micros":328739,"calls":["id_created",{"micros":320,"calls":[]},"session_lookup_time",{"micros":223,"calls":[]},"session_lookup_finished",{"micros":13,"calls":[]},"discord-sessions-prd-2-21",{"micros":327942,"calls":["start_session",{"micros":321624,"calls":["discord-api-rpc-5b98fd644-kl8hd",{"micros":288467,"calls":["get_user",{"micros":253839},"get_guilds",{"micros":5788},"send_scheduled_deletion_message",{"micros":45},"guild_join_requests",{"micros":530},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":23973},"apex_experiments",{"micros":2387},"user_activities",{"micros":4},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":36,"calls":[]},"presence_started",{"micros":301,"calls":[]},"guilds_started",{"micros":57,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":5839,"calls":[]},"connect_finished",{"micros":5889,"calls":[]},"build_ready",{"micros":21,"calls":[]},"clean_ready",{"micros":12,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-09-22 17:06:51] [DEBUG   ] discord.client: Dispatching event socket_event_type
